time,SACZ_ind
850,0.024696482535968706
851,0.10004633683147751
852,0.0772810232881409
853,-0.028991353137658132
854,-0.2755153097073779
855,-0.4847045192835868
856,-0.6960007481706737
857,-0.7150692557308631
858,-0.6533056668361044
859,-0.6342132607476041
860,-0.6518790291964951
861,-0.7294354899482456
862,-0.6364249741326151
863,-0.5865237550658247
864,-0.6463065498501095
865,-0.8031340841401708
866,-0.8910776163453992
867,-1.1286495816182744
868,-1.5819541910407013
869,-1.8736095803085424
870,-1.862193473914687
871,-1.7163475794708676
872,-1.5255562116576122
873,-1.3452344034962307
874,-1.3663797321382187
875,-1.5565266978236352
876,-1.824144552623776
877,-1.919890654947728
878,-1.7970735285775814
879,-1.6075111237013102
880,-1.3392286933683573
881,-1.2862450397062524
882,-1.2255199752724781
883,-1.009805571932981
884,-0.811486249620764
885,-0.6331032190355773
886,-0.28621808394544335
887,-0.10334175945518866
888,-0.05393079886525555
889,-0.12249868044561676
890,-0.3084126440116677
891,-0.49178494903411896
892,-0.6140475050963912
893,-0.6083708450786416
894,-0.5987024844432511
895,-0.350057788627739
896,-0.11509829396604217
897,-0.23972615091046096
898,-0.2476340734288328
899,-0.45963206838707565
900,-0.6130847355757774
901,-0.710558316977574
902,-0.8374161463443321
903,-0.9828497735497874
904,-0.95912894832174
905,-0.8748902014059481
906,-0.8616607222825646
907,-1.0407869359488457
908,-1.3571088497532564
909,-1.5970483040734518
910,-1.666612946298125
911,-1.6649791346788385
912,-1.647337872252355
913,-1.6352351358200155
914,-1.550164269305958
915,-1.5979441148329765
916,-1.8174465502402097
917,-1.9356417904689622
918,-1.7670552402844137
919,-1.638602543868454
920,-1.665366736081484
921,-1.7489374340309403
922,-1.4731986797100896
923,-1.415025111340325
924,-1.4718214173572965
925,-1.3986103604136009
926,-1.3066994781137402
927,-1.325748350991618
928,-1.305022274233529
929,-1.2538357178347903
930,-1.223679316626678
931,-1.268286518358002
932,-1.2710525655081613
933,-1.2239508200351197
934,-1.1865578532974494
935,-1.1423289217611101
936,-1.006376815634037
937,-1.040467724155942
938,-1.189449980546506
939,-1.2065523582939317
940,-1.1632846826917969
941,-1.1521282323493356
942,-1.170939520375847
943,-1.2254272226129377
944,-1.1697946917806799
945,-1.1666491109651584
946,-1.123428566281782
947,-1.1168552933282976
948,-1.114300143381345
949,-1.055039821497933
950,-1.0432686011740686
951,-0.9662607436611652
952,-0.928273498226214
953,-0.9489409181164818
954,-1.0999300112088202
955,-0.9083125864035366
956,-0.9990305919113978
957,-1.1868253813096246
958,-1.3461707938665746
959,-1.1951124164105238
960,-1.2304810893798956
961,-1.4155424338972806
962,-1.253854892140409
963,-1.2553864975927658
964,-1.252601339061775
965,-1.1433607535963741
966,-0.9135976182420389
967,-0.807503712017871
968,-0.7577184149809169
969,-0.7417506379020855
970,-0.6750463543302077
